"A","Alimentäres System und Stoffwechsel",""
"A01","Stomatologika",""
"A01A","Stomatologika",""
"A02","Mittel bei Säure bedingten Erkrankungen",""
"A02A","Antacida",""
"A02B","Mittel bei peptischem Ulkus und gastroesophagealer Refluxkrankheit",""
"A02X","Andere Mittel bei Säure bedingten Erkrankungen",""
"A03","Mittel bei funktionellen gastrointestinalen Störungen",""
"A03A","Mittel bei funktionellen gastrointestinalen Störungen",""
"A03B","Belladonna und Derivate, rein",""
"A03C","Spasmolytika in Kombination mit Psycholeptika",""
"A03D","Spasmolytika in Kombination mit Analgetika",""
"A03E","Spasmolytika und Anticholinergika in Kombination mit anderen Mitteln",""
"A03F","Prokinetika",""
"A03H","Andere homöopathische und anthroposophische Zubereitungen",""
"A03P","Andere pflanzliche Zubereitungen",""
"A04","Antiemetika und Mittel gegen Übelkeit",""
"A04A","Antiemetika und Mittel gegen Übelkeit",""
"A05","Gallen- und Lebertherapie",""
"A05A","Gallentherapie",""
"A05B","Lebertherapie, Lipotrope Substanzen",""
"A05C","Mittel zur Gallentherapie und Lipotrope Substanzen in Kombination",""
"A06","Mittel gegen Obstipation",""
"A06A","Mittel gegen Obstipation",""
"A07","Antidiarrhoika und Intestinale Antiphlogistika/antiinfektiva",""
"A07A","Intestinale Antiinfektiva",""
"A07B","Intestinale Adsorbenzien",""
"A07C","Elektrolyte mit Kohlenhydraten",""
"A07D","Motilitätshemmer",""
"A07E","Intestinale Antiphlogistika",""
"A07F","Mikrobielle Antidiarrhoika",""
"A07X","Andere Antidiarrhoika",""
"A08","Antiadiposita, exkl. Diätetika",""
"A08A","Antiadiposita, exkl. Diätetika",""
"A09","Digestiva, inkl. Enzyme",""
"A09A","Digestiva, inkl. Enzyme",""
"A10","Antidiabetika",""
"A10A","Insuline und Analoga",""
"A10B","Antidiabetika, exkl. Insuline",""
"A10X","Andere Antidiabetika",""
"A11","Vitamine",""
"A11A","Multivitamine, Kombinationen",""
"A11B","Multivitamine, rein",""
"A11C","Vitamin A und D, inkl. deren Kombinationen",""
"A11D","Vitamin B1, rein und in Kombination mit Vitamin B6 und Vitamin B12",""
"A11E","Vitamin-b-komplex, inkl. Kombinationen",""
"A11G","Ascorbinsäure (vitamin C), inkl. Kombinationen",""
"A11H","Andere Vitaminpräparate, rein",""
"A11J","Andere Vitaminpräparate, Kombinationen",""
"A12","Mineralstoffe",""
"A12A","Calcium",""
"A12B","Kalium",""
"A12C","Andere Mineralstoffe",""
"A13","Tonika",""
"A13A","Tonika",""
"A14","Anabolika zur systemischen Anwendung",""
"A14A","Anabole Steroide",""
"A14B","Andere Anabolika",""
"A15","Appetit stimulierende Mittel",""
"A15A","Appetit stimulierende Mittel",""
"A16","Andere Mittel für das alimentäre System und den Stoffwechsel",""
"A16A","Andere Mittel für das alimentäre System und den Stoffwechsel",""
"B","Blut und blutbildende Organe",""
"B01","Antithrombotische Mittel",""
"B01A","Antithrombotische Mittel",""
"B02","Antihämorrhagika",""
"B02A","Antifibrinolytika",""
"B02B","Vitamin K und andere Hämostatika",""
"B03","Antianämika",""
"B03A","Eisen-haltige Zubereitungen",""
"B03B","Vitamin B12 und Folsäure",""
"B03X","Andere Antianämika",""
"B05","Blutersatzmittel und Perfusionslösungen",""
"B05A","Blut und verwandte Produkte",""
"B05B","I.V.-Lösungen",""
"B05C","Spüllösungen",""
"B05D","Lösungen zur Peritonealdialyse",""
"B05X","Additiva Zu I.V.-Lösungen",""
"B05Z","Hämodialysekonzentrate und Hämofiltrate",""
"B06","Andere Hämatologika",""
"B06A","Andere Hämatologika",""
"C","Kardiovaskuläres System",""
"C01","Herztherapie",""
"C01A","Herzglykoside",""
"C01B","Antiarrhythmika, Klasse I und III",""
"C01C","Kardiostimulanzien, exkl. Herzglykoside",""
"C01D","Bei Herzerkrankungen eingesetzte Vasodilatatoren",""
"C01E","Andere Herzmittel",""
"C02","Antihypertonika",""
"C02A","Antiadrenerge Mittel, zentral wirkend",""
"C02B","Antiadrenerge Mittel, Ganglienblocker",""
"C02C","Antiadrenerge Mittel, peripher wirkend",""
"C02D","Mittel mit Wirkung auf die arterielle Gefässmuskulatur",""
"C02K","Andere Antihypertonika",""
"C02L","Antihypertonika und Diuretika in Kombination",""
"C02N","Kombinationen von Antihypertensiven Wirkstoffen aus Atc-gruppe C02",""
"C03","Diuretika",""
"C03A","Low-ceiling-diuretika, Thiazide",""
"C03B","Low-ceiling-diuretika, exkl. Thiazide",""
"C03C","High-ceiling-diuretika",""
"C03D","Kalium sparende Mittel",""
"C03E","Diuretika und Kalium sparende Mittel in Kombination",""
"C03X","Andere Diuretika",""
"C04","Periphere Vasodilatatoren",""
"C04A","Periphere Vasodilatatoren",""
"C04B","Kombinationen von anderen Peripheren Vasodilatatoren",""
"C05","Vasoprotektoren",""
"C05A","Mittel zur Behandlung von Hämorrhoiden und Analfissuren zur topischen Anwendung",""
"C05B","Antivarikosa",""
"C05C","Kapillarstabilisierende Mittel",""
"C06","Andere Herz- und Kreislaufmittel",""
"C06A","Antihypotonika",""
"C07","Beta-adrenozeptor-antagonisten",""
"C07A","Beta-adrenozeptor-antagonisten",""
"C07B","Beta-adrenozeptor-antagonisten und Thiazide",""
"C07C","Beta-adrenozeptor-antagonisten und andere Diuretika",""
"C07D","Beta-adrenozeptor-antagonisten, Thiazide und andere Diuretika",""
"C07E","Beta-adrenozeptor-antagonisten und Vasodilatatoren",""
"C07F","Beta-adrenozeptor-antagonisten und andere Antihypertonika",""
"C07G","Beta-adrenozeptor-antagonisten und andere Mittel",""
"C08","Calciumkanalblocker",""
"C08C","Selektive Calciumkanalblocker mit vorwiegender Gefässwirkung",""
"C08D","Selektive Calciumkanalblocker mit vorwiegender Herzwirkung",""
"C08E","Nichtselektive Calciumkanalblocker",""
"C08G","Calciumkanalblocker und Diuretika",""
"C09","Mittel mit Wirkung auf das Renin-angiotensin-system",""
"C09A","Ace-hemmer, rein",""
"C09B","Ace-hemmer, Kombinationen",""
"C09C","Angiotensin-ii-antagonisten, rein",""
"C09D","Angiotensin-ii-antagonisten, Kombinationen",""
"C09X","Andere Mittel mit Wirkung auf das Renin-angiotensin-system",""
"C10","Mittel, die den Lipidstoffwechsel beeinflussen",""
"C10A","Mittel, die den Lipidstoffwechsel Beeinflussen, rein",""
"C10B","Mittel, die den Lipidstoffwechsel Beeinflussen, Kombinationen",""
"D","Dermatika",""
"D01","Antimykotika zur dermatologischen Anwendung",""
"D01A","Antimykotika zur topischen Anwendung",""
"D01B","Antimykotika zur systemischen Anwendung",""
"D02","Emollientia und Hautschutzmittel",""
"D02A","Emollientia und Hautschutzmittel",""
"D02B","Protektiva gegen UV-Strahlung",""
"D03","Zubereitungen zur Behandlung von Wunden und Geschwüren",""
"D03A","Wundbehandlungsmittel",""
"D03B","Enzyme",""
"D04","Antipruriginosa, inkl. Antihistaminika, Anästhetika etc.",""
"D04A","Antipruriginosa, inkl.  Antihistaminika, Anästhetika etc.",""
"D05","Antipsoriatika",""
"D05A","Antipsoriatika zur topischen Anwendung",""
"D05B","Antipsoriatika zur systemischen Anwendung",""
"D06","Antibiotika und Chemotherapeutika zur dermatologischen Anwendung",""
"D06A","Antibiotika zur topischen Anwendung",""
"D06B","Chemotherapeutika zur topischen Anwendung",""
"D06C","Antibiotika und Chemotherapeutika, Kombinationen",""
"D07","Corticosteroide, dermatologische Zubereitungen",""
"D07A","Corticosteroide, rein",""
"D07B","Corticosteroide, Kombinationen mit Antiseptika",""
"D07C","Corticosteroide, Kombinationen mit Antibiotika",""
"D07X","Corticosteroide, andere Kombinationen",""
"D08","Antiseptika und Desinfektionsmittel",""
"D08A","Antiseptika und Desinfektionsmittel",""
"D09","Medizinische Verbände",""
"D09A","Medizinische Verbände",""
"D10","Aknemittel",""
"D10A","Aknemittel zur topischen Anwendung",""
"D10B","Aknemittel zur systemischen Anwendung",""
"D11","Andere Dermatika",""
"D11A","Andere Dermatika",""
"D11B","Andere homöopathische und anthroposophische Dermatika",""
"G","Urogenitalsystem und Sexualhormone",""
"G01","Gynäkologische Antiinfektiva und Antiseptika",""
"G01A","Antiinfektiva und Antiseptika, exkl. Kombinationen mit Corticosteroiden",""
"G01B","Antiinfektiva/Antiseptika in Kombination mit Corticosteroiden",""
"G02","Andere Gynäkologika",""
"G02A","Wehen fördernde Mittel",""
"G02B","Kontrazeptiva zur lokalen Anwendung",""
"G02C","Andere Gynäkologika",""
"G03","Sexualhormone und Modulatoren des Genitalsystems",""
"G03A","Hormonelle Kontrazeptiva zur systemischen Anwendung",""
"G03B","Androgene",""
"G03C","Estrogene",""
"G03D","Gestagene",""
"G03E","Androgene und weibliche Sexualhormone in Kombination",""
"G03F","Gestagene und Estrogene in Kombination",""
"G03G","Gonadotropine und andere Ovulationsauslöser",""
"G03H","Antiandrogene",""
"G03X","Andere Sexualhormone und Modulatoren des Genitalsystems",""
"G04","Urologika",""
"G04B","Urologika",""
"G04C","Mittel bei benigner Prostatahyperplasie",""
"H","Systemische Hormonpräparate, exkl. Sexualhormone und Insuline",""
"H01","Hypophysen- und Hypothalamushormone und Analoga",""
"H01A","Hypophysenvorderlappenhormone und Analoga",""
"H01B","Hypophysenhinterlappenhormone",""
